class_name,file,package,kind,modifiers,extends,implements,in_degree,out_degree,internal_degree,instability,depth,reachable,pagerank,betweenness,in_cycle,is_leaf,is_dead,total_imports,n_internal,n_java_stdlib,n_javax_stdlib,n_external,n_nist_other,n_nist_epqdatabase,n_nist_epqimage,n_nist_epqlibrary,n_nist_epqtests,n_nist_epqtools,n_nist_jythongui,n_nist_nistmonte,n_nist_utility
DetectorCalibration,DetectorCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,,Comparable,2,3,5,0.6,2,93,0.003875,0.000842,True,False,False,5,2,3,0,0,0,0,0,0,0,0,0,0,0
DetectorLineshapeModel,DetectorLineshapeModel.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,,Cloneable,12,1,13,0.0769,2,93,0.006295,2.5e-05,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DetectorProperties,DetectorProperties.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,Cloneable,6,5,11,0.4545,2,93,0.00521,0.029348,True,False,False,4,2,1,0,0,0,0,0,0,0,0,0,0,1
EDSCalibration,EDSCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,DetectorCalibration,,6,8,14,0.5714,2,93,0.003655,0.012374,True,False,False,2,2,0,0,0,0,0,0,0,0,0,0,0,0
EDSDetector,EDSDetector.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,IXRayDetector,17,18,35,0.5143,2,93,0.005284,0.078086,True,False,False,25,9,10,0,2,0,0,0,0,0,1,0,2,1
ElectronProbe,ElectronProbe.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,Comparable,2,2,4,0.5,2,93,0.003113,4.2e-05,True,False,False,3,2,0,0,0,0,0,0,0,0,0,0,0,1
FanoSiLiLineshape,FanoSiLiLineshape.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,DetectorLineshapeModel,,2,2,4,0.5,2,93,0.00252,0.000303,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GridMountedWindow,GridMountedWindow.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,XRayWindow,,2,4,6,0.6667,2,93,0.002369,0.001196,True,False,False,3,3,0,0,0,0,0,0,0,0,0,0,0,0
IXRayDetector,IXRayDetector.java,gov.nist.microanalysis.EPQLibrary.Detector,interface,public,ActionListener,,3,3,6,0.5,2,93,0.005327,0.021233,True,False,False,2,1,1,0,0,0,0,0,0,0,0,0,0,0
IXRayWindowProperties,IXRayWindowProperties.java,gov.nist.microanalysis.EPQLibrary.Detector,interface,public,Cloneable,,10,1,11,0.0909,2,93,0.007817,0.0,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MeasuredCalibration,MeasuredCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,EDSCalibration,,0,16,16,1.0,5,96,0.001977,0.0,False,False,False,23,12,3,0,1,0,0,0,0,0,0,0,0,7
MicrocalCalibration,MicrocalCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,EDSCalibration,,2,17,19,0.8947,2,93,0.002339,0.007438,True,False,False,15,12,2,0,0,0,0,0,0,0,0,0,0,1
SDDCalibration,SDDCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,SiLiCalibration,,2,4,6,0.6667,2,93,0.002324,0.000146,True,False,False,4,3,1,0,0,0,0,0,0,0,0,0,0,0
SiLiCalibration,SiLiCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,EDSCalibration,,2,15,17,0.8824,2,93,0.002721,0.01267,True,False,False,14,10,3,0,0,0,0,0,0,0,0,0,0,1
XRayWindow,XRayWindow.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,IXRayWindowProperties,4,10,14,0.7143,2,93,0.003173,0.003063,True,False,False,11,9,2,0,0,0,0,0,0,0,0,0,0,0
XRayWindow2,XRayWindow2.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,IXRayWindowProperties,1,9,10,0.9,2,93,0.002164,1.2e-05,True,False,False,8,7,0,0,0,0,0,0,0,0,0,0,0,1
XRayWindow3,XRayWindow3.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,IXRayWindowProperties,1,4,5,0.8,2,93,0.002164,0.0,True,False,False,7,3,2,0,0,0,0,0,0,0,0,0,0,2
XRayWindowFactory,XRayWindowFactory.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,,1,13,14,0.9286,2,93,0.002863,0.020939,True,False,False,10,8,1,0,0,0,0,0,0,0,0,0,0,1
DuaneHuntLimit,DuaneHuntLimit.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,2,8,10,0.8,2,93,0.003094,0.014647,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
