source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
PrintUtilities,PrintUtilities.java,java.awt.print.PrinterException,PrinterException,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.print.PrinterJob,PrinterJob,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,javax.swing.RepaintManager,RepaintManager,javax_stdlib,import,False
PrintUtilities,PrintUtilities.java,Printable,Printable,unknown,implements,False
ProgressEvent,ProgressEvent.java,java.awt.event.ActionEvent,ActionEvent,java_stdlib,import,False
ProgressEvent,ProgressEvent.java,ActionEvent,ActionEvent,unknown,extends,False
Simplex,Simplex.java,java.util.Arrays,Arrays,java_stdlib,import,False
Simplex,Simplex.java,java.util.Random,Random,java_stdlib,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,gov.nist.microanalysis.EPQLibrary.Composition,Composition,nist_epqlibrary,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,gov.nist.microanalysis.EPQLibrary.EPQException,EPQException,nist_epqlibrary,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,gov.nist.microanalysis.EPQLibrary.ISpectrumData,ISpectrumData,nist_epqlibrary,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,gov.nist.microanalysis.EPQLibrary.SpectrumProperties,SpectrumProperties,nist_epqlibrary,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,java.util.Collection,Collection,java_stdlib,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,javax.swing.table.AbstractTableModel,AbstractTableModel,javax_stdlib,import,False
SpectrumPropertiesTableModel,SpectrumPropertiesTableModel.java,AbstractTableModel,AbstractTableModel,unknown,extends,False
StageRelocation,StageRelocation.java,gov.nist.microanalysis.EPQLibrary.EPQException,EPQException,nist_epqlibrary,import,False
StageRelocation,StageRelocation.java,java.util.List,List,java_stdlib,import,False
TextUtilities,TextUtilities.java,java.util.Collection,Collection,java_stdlib,import,False
Transform3D,Transform3D.java,Jama.Matrix,Matrix,external,import,False
Translate2D,Translate2D.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
Translate2D,Translate2D.java,java.util.Collection,Collection,java_stdlib,import,False
