cycle,length,position,class_name
37,17,16,FilterFit
38,18,0,FilteredSpectrum
38,18,1,DerivedSpectrum
38,18,2,BaseSpectrum
38,18,3,SpectrumUtils
38,18,4,EDSDetector
38,18,5,Element
38,18,6,MeanIonizationPotential
38,18,7,AlgorithmClass
38,18,8,LitReference
38,18,9,Riveros1993
38,18,10,MassAbsorptionCoefficient
38,18,11,AtomicShell
38,18,12,AlgorithmUser
38,18,13,CorrectionAlgorithm
38,18,14,Fluorescence
38,18,15,SpectrumProperties
38,18,16,QuantifyUsingSTEMinSEM
38,18,17,FilterFit
39,18,0,FilteredSpectrum
39,18,1,DerivedSpectrum
39,18,2,BaseSpectrum
39,18,3,SpectrumUtils
39,18,4,EDSDetector
39,18,5,Element
39,18,6,MeanIonizationPotential
39,18,7,AlgorithmClass
39,18,8,LitReference
39,18,9,Riveros1993
39,18,10,MassAbsorptionCoefficient
39,18,11,AtomicShell
39,18,12,AlgorithmUser
39,18,13,CorrectionAlgorithm
39,18,14,PAP1991
39,18,15,SpectrumProperties
39,18,16,QuantifyUsingSTEMinSEM
39,18,17,FilterFit
40,18,0,FilteredSpectrum
40,18,1,DerivedSpectrum
40,18,2,BaseSpectrum
40,18,3,SpectrumUtils
40,18,4,EDSDetector
40,18,5,Element
40,18,6,MeanIonizationPotential
40,18,7,AlgorithmClass
40,18,8,LitReference
40,18,9,Riveros1993
40,18,10,MassAbsorptionCoefficient
40,18,11,AtomicShell
40,18,12,AlgorithmUser
40,18,13,CorrectionAlgorithm
40,18,14,XPP1991
40,18,15,SpectrumProperties
40,18,16,QuantifyUsingSTEMinSEM
40,18,17,FilterFit
41,19,0,FilteredSpectrum
41,19,1,DerivedSpectrum
41,19,2,BaseSpectrum
41,19,3,SpectrumUtils
41,19,4,EDSDetector
41,19,5,Element
41,19,6,MeanIonizationPotential
41,19,7,AlgorithmClass
41,19,8,LitReference
41,19,9,Riveros1993
41,19,10,MassAbsorptionCoefficient
41,19,11,AtomicShell
41,19,12,AlgorithmUser
41,19,13,CorrectionAlgorithm
41,19,14,XPP1991
41,19,15,PAP1991
41,19,16,SpectrumProperties
41,19,17,QuantifyUsingSTEMinSEM
41,19,18,FilterFit
42,19,0,FilteredSpectrum
42,19,1,DerivedSpectrum
42,19,2,BaseSpectrum
42,19,3,SpectrumUtils
42,19,4,EDSDetector
42,19,5,Element
42,19,6,MeanIonizationPotential
42,19,7,AlgorithmClass
42,19,8,LitReference
42,19,9,Riveros1993
42,19,10,MassAbsorptionCoefficient
42,19,11,AtomicShell
42,19,12,AlgorithmUser
42,19,13,CorrectionAlgorithm
42,19,14,XPP1989Ext
42,19,15,XPP1991
42,19,16,SpectrumProperties
42,19,17,QuantifyUsingSTEMinSEM
42,19,18,FilterFit
43,20,0,FilteredSpectrum
43,20,1,DerivedSpectrum
43,20,2,BaseSpectrum
43,20,3,SpectrumUtils
43,20,4,EDSDetector
43,20,5,Element
43,20,6,MeanIonizationPotential
43,20,7,AlgorithmClass
43,20,8,LitReference
43,20,9,Riveros1993
43,20,10,MassAbsorptionCoefficient
43,20,11,AtomicShell
43,20,12,AlgorithmUser
43,20,13,CorrectionAlgorithm
43,20,14,XPP1989Ext
43,20,15,XPP1991
43,20,16,PAP1991
43,20,17,SpectrumProperties
43,20,18,QuantifyUsingSTEMinSEM
43,20,19,FilterFit
44,19,0,FilteredSpectrum
44,19,1,DerivedSpectrum
44,19,2,BaseSpectrum
44,19,3,SpectrumUtils
44,19,4,EDSDetector
44,19,5,Element
44,19,6,MeanIonizationPotential
44,19,7,AlgorithmClass
44,19,8,LitReference
44,19,9,Riveros1993
44,19,10,MassAbsorptionCoefficient
44,19,11,AtomicShell
44,19,12,AlgorithmUser
44,19,13,CorrectionAlgorithm
44,19,14,XPP1989Ext
44,19,15,PAP1991
44,19,16,SpectrumProperties
44,19,17,QuantifyUsingSTEMinSEM
44,19,18,FilterFit
45,18,0,FilteredSpectrum
45,18,1,DerivedSpectrum
45,18,2,BaseSpectrum
45,18,3,SpectrumUtils
45,18,4,EDSDetector
45,18,5,Element
45,18,6,MeanIonizationPotential
45,18,7,AlgorithmClass
45,18,8,LitReference
45,18,9,Riveros1993
45,18,10,MassAbsorptionCoefficient
45,18,11,AtomicShell
45,18,12,AlgorithmUser
45,18,13,CorrectionAlgorithm
45,18,14,XPP1989Ext
45,18,15,SpectrumProperties
45,18,16,QuantifyUsingSTEMinSEM
45,18,17,FilterFit
46,19,0,FilteredSpectrum
46,19,1,DerivedSpectrum
46,19,2,BaseSpectrum
46,19,3,SpectrumUtils
46,19,4,EDSDetector
46,19,5,Element
46,19,6,MeanIonizationPotential
46,19,7,AlgorithmClass
46,19,8,LitReference
46,19,9,Riveros1993
46,19,10,MassAbsorptionCoefficient
46,19,11,AtomicShell
46,19,12,AlgorithmUser
46,19,13,CorrectionAlgorithm
46,19,14,Armstrong1982Correction
46,19,15,Armstrong1982Base
46,19,16,SpectrumProperties
46,19,17,QuantifyUsingSTEMinSEM
46,19,18,FilterFit
47,19,0,FilteredSpectrum
47,19,1,DerivedSpectrum
47,19,2,BaseSpectrum
47,19,3,SpectrumUtils
47,19,4,EDSDetector
47,19,5,Element
47,19,6,MeanIonizationPotential
47,19,7,AlgorithmClass
47,19,8,LitReference
47,19,9,Riveros1993
47,19,10,MassAbsorptionCoefficient
47,19,11,AtomicShell
47,19,12,AlgorithmUser
47,19,13,CorrectionAlgorithm
47,19,14,Armstrong1982ParticleCorrection
47,19,15,Armstrong1982Base
47,19,16,SpectrumProperties
47,19,17,QuantifyUsingSTEMinSEM
47,19,18,FilterFit
48,20,0,FilteredSpectrum
48,20,1,DerivedSpectrum
48,20,2,BaseSpectrum
48,20,3,SpectrumUtils
48,20,4,EDSDetector
48,20,5,Element
48,20,6,MeanIonizationPotential
48,20,7,AlgorithmClass
48,20,8,LitReference
48,20,9,Riveros1993
